job_id,estimate_id,scheduled_date,completed_date,completed_month,customer_id,customer_name,customer_type,contract_type,acquisition_channel,property_tier,service_id,service_name,service_category,billing_type,target_margin,crew_id,crew_name,crew_home_base,city,billed_revenue,labor_cost,actual_material_cost,gross_profit,gross_margin_pct,estimated_labor_hours,actual_labor_hours,labor_variance_hours,labor_variance_pct,estimated_material_cost,material_variance,material_variance_pct,rework_flag,weather_delay_flag,travel_minutes,customer_rating
910807,,2025-02-05,2025-02-05,2025-02-01 00:00:00,266,Jack Morgan,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,94.12,20.95,20.81,52.36,0.5563110922226944,0.87,0.98,0.10999999999999999,0.1264367816091954,22.38,-1.5700000000000003,-0.07015192135835568,0,0,38,4.9
910053,,2025-02-05,2025-02-05,2025-02-01 00:00:00,245,Levi Hayes,Residential,Recurring,Website,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,123.46,22.5,26.65,74.31,0.6018953507208813,1.18,1.09,-0.08999999999999986,-0.07627118644067785,29.02,-2.370000000000001,-0.08166781529979328,0,0,21,5.0
910496,,2025-02-05,2025-02-05,2025-02-01 00:00:00,254,Oak Dental,Commercial,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,109.52,19.11,26.16,64.25,0.5866508400292184,0.83,0.91,0.08000000000000007,0.09638554216867479,25.06,1.1000000000000014,0.043894652833200376,0,0,13,5.0
911117,,2025-02-05,2025-02-05,2025-02-01 00:00:00,275,Levi Cooper,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Brentwood,89.81,17.880000000000003,25.54,46.39000000000001,0.5165349070259437,0.77,0.83,0.05999999999999994,0.07792207792207785,22.01,3.5299999999999976,0.16038164470695127,0,0,39,4.7
900442,,2025-02-05,2025-02-05,2025-02-01 00:00:00,11,Owen Brooks,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,93.81,17.35,25.44,51.02000000000001,0.5438652595672104,0.78,0.78,0.0,0.0,22.17,3.2699999999999996,0.14749661705006764,0,0,29,4.6
913337,,2025-02-05,2025-02-05,2025-02-01 00:00:00,339,Caleb Murphy,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Franklin,95.27,17.68,20.64,56.95,0.5977747454602709,0.83,0.76,-0.06999999999999995,-0.0843373493975903,22.01,-1.370000000000001,-0.06224443434802367,0,0,33,4.8
907832,,2025-02-05,2025-02-05,2025-02-01 00:00:00,192,Caleb Murphy,Residential,Recurring,Homebuilder/HOA,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,188.78,39.41,44.56,104.81,0.5551965250556203,1.69,1.87,0.18000000000000016,0.10650887573964507,44.18,0.38000000000000256,0.008601177003168913,0,0,12,4.8
906090,,2025-02-05,2025-02-05,2025-02-01 00:00:00,153,Owen Cole,Residential,Recurring,Homebuilder/HOA,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,128.86,29.13,32.55,67.18000000000002,0.5213409902219464,1.13,1.37,0.2400000000000002,0.21238938053097367,30.89,1.6599999999999966,0.053739074134023845,0,0,10,4.4
900509,,2025-02-06,2025-02-06,2025-02-01 00:00:00,13,Aiden Collins,Residential,Recurring,Homebuilder/HOA,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Brentwood,91.51,19.85,26.51,45.14999999999999,0.49338870068844926,0.83,0.92,0.09000000000000008,0.10843373493975914,24.5,2.0100000000000016,0.08204081632653068,0,0,27,4.9
905977,,2025-02-06,2025-02-06,2025-02-01 00:00:00,150,Aiden Gray,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Spring Hill,97.65,20.96,19.2,57.489999999999995,0.5887352790578596,0.87,1.01,0.14,0.16091954022988508,20.0,-0.8000000000000007,-0.040000000000000036,0,0,43,4.6
912519,,2025-02-05,2025-02-06,2025-02-01 00:00:00,316,Elijah Cooper,Residential,Recurring,Website,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,172.9,34.83,45.69,92.38,0.5342972816657027,1.74,1.7,-0.040000000000000036,-0.022988505747126457,42.44,3.25,0.07657869934024505,0,1,28,4.3
912866,,2025-02-06,2025-02-06,2025-02-01 00:00:00,328,Maple Properties,Commercial,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,104.02,18.3,21.78,63.94,0.6146894827917708,0.84,0.83,-0.010000000000000009,-0.011904761904761916,19.08,2.700000000000003,0.1415094339622643,0,0,25,4.2
907126,,2025-02-06,2025-02-06,2025-02-01 00:00:00,178,Noah Parker,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,90.31,19.04,23.9,47.37000000000001,0.524526630494962,1.01,0.94,-0.07000000000000006,-0.06930693069306937,21.77,2.129999999999999,0.0978410656867248,0,0,16,5.0
906383,,2025-02-06,2025-02-06,2025-02-01 00:00:00,163,Jackson Cole,Residential,Recurring,Facebook,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,122.72,33.2,29.53,59.989999999999995,0.48883637548891784,1.31,1.58,0.27,0.20610687022900764,28.47,1.0600000000000023,0.03723217421847567,0,0,17,4.9
913575,,2025-02-06,2025-02-06,2025-02-01 00:00:00,343,Wyatt Flores,Residential,Recurring,Referral,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,120.16,25.6,30.98,63.58,0.5291278295605859,1.17,1.25,0.08000000000000007,0.06837606837606844,31.02,-0.03999999999999915,-0.0012894906511927513,0,0,41,4.3
914706,,2025-02-06,2025-02-06,2025-02-01 00:00:00,370,Caleb Bailey,Residential,Recurring,Website,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Nolensville,122.28,21.14,31.6,69.53999999999999,0.5686947988223748,1.13,1.08,-0.04999999999999982,-0.044247787610619316,30.31,1.2900000000000027,0.04256021115143526,0,0,31,5.0
916168,,2025-02-06,2025-02-06,2025-02-01 00:00:00,403,James Murphy,Residential,Recurring,Website,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Franklin,125.74,28.35,32.43,64.95999999999998,0.5166216001272466,1.11,1.31,0.19999999999999996,0.18018018018018012,29.14,3.289999999999999,0.11290322580645158,0,0,37,4.5
903209,,2025-02-06,2025-02-06,2025-02-01 00:00:00,81,Stone Cafe,Commercial,Recurring,Referral,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,152.55,29.39,32.11,91.05000000000001,0.5968534906588004,1.25,1.33,0.08000000000000007,0.06400000000000006,30.18,1.9299999999999997,0.06394963552021206,0,0,23,4.7
913166,,2025-02-06,2025-02-06,2025-02-01 00:00:00,334,Luke Parker,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Brentwood,91.73,19.21,21.41,51.110000000000014,0.5571786765507469,0.85,0.91,0.06000000000000005,0.07058823529411772,22.34,-0.9299999999999997,-0.04162936436884511,0,0,37,4.5
901631,,2025-02-06,2025-02-06,2025-02-01 00:00:00,39,Logan Bennett,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nolensville,92.1,17.18,19.63,55.28999999999999,0.6003257328990228,0.78,0.83,0.04999999999999993,0.06410256410256401,22.51,-2.8800000000000026,-0.1279431363838295,0,0,35,4.8
916439,,2025-02-06,2025-02-06,2025-02-01 00:00:00,410,Cumberland Builders,Commercial,Recurring,Referral,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Spring Hill,149.58,24.4,33.01,92.17000000000002,0.616192004278647,1.19,1.2,0.010000000000000009,0.008403361344537823,29.54,3.469999999999999,0.11746784021665535,0,0,30,5.0
904680,,2025-02-06,2025-02-06,2025-02-01 00:00:00,119,Noah Flores,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,97.69,17.630000000000003,24.13,55.93000000000001,0.5725253352441397,0.91,0.84,-0.07000000000000006,-0.07692307692307698,21.63,2.5,0.11558021266759132,0,0,26,4.9
911490,,2025-02-07,2025-02-07,2025-02-01 00:00:00,287,Henry Bailey,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,92.28,17.08,24.18,51.02,0.5528825314260946,0.85,0.82,-0.030000000000000027,-0.03529411764705886,23.95,0.23000000000000043,0.009603340292275593,0,0,26,4.6
916852,,2025-02-07,2025-02-07,2025-02-01 00:00:00,419,Hudson Morgan,Residential,Recurring,Google Search,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,127.95,21.05,29.69,77.21000000000001,0.6034388432981634,1.22,0.95,-0.27,-0.2213114754098361,27.62,2.0700000000000003,0.07494569152787836,0,0,22,5.0
911998,,2025-02-07,2025-02-07,2025-02-01 00:00:00,302,Ethan Ross,Residential,Recurring,Website,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,182.42,34.09,46.49,101.83999999999997,0.558272119285166,1.75,1.65,-0.10000000000000009,-0.0571428571428572,42.92,3.5700000000000003,0.08317800559179869,0,0,8,5.0
901527,,2025-02-07,2025-02-07,2025-02-01 00:00:00,37,Harpeth Retail Center,Commercial,Recurring,Facebook,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nolensville,115.71,19.330000000000002,24.56,71.82,0.6206896551724138,0.9,0.91,0.010000000000000009,0.01111111111111112,22.42,2.139999999999997,0.09545049063336293,0,0,33,4.7
905940,,2025-02-07,2025-02-07,2025-02-01 00:00:00,149,Carter Cooper,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,93.18,17.72,23.54,51.92000000000001,0.557201116119339,0.81,0.81,0.0,0.0,20.87,2.669999999999998,0.12793483469094385,0,0,12,5.0
915585,,2025-02-07,2025-02-07,2025-02-01 00:00:00,389,Aiden Hayes,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Franklin,89.28,18.39,22.23,48.66,0.54502688172043,0.77,0.88,0.10999999999999999,0.14285714285714285,23.15,-0.9199999999999982,-0.039740820734341174,0,0,52,4.6
904783,,2025-02-07,2025-02-07,2025-02-01 00:00:00,121,Harpeth Academy,Commercial,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Brentwood,117.93,17.81,20.81,79.31,0.6725175951835834,0.85,0.85,0.0,0.0,22.64,-1.8300000000000018,-0.08083038869257958,0,0,31,4.9
908540,,2025-02-07,2025-02-07,2025-02-01 00:00:00,205,Owen Morgan,Residential,Recurring,Website,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,131.41,22.56,31.74,77.11,0.5867894376379271,1.09,0.97,-0.1200000000000001,-0.11009174311926614,30.31,1.4299999999999997,0.04717914879577696,0,0,38,4.7
911659,,2025-02-07,2025-02-07,2025-02-01 00:00:00,290,Noah Hayes,Residential,Recurring,Facebook,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,98.23,18.950000000000003,21.32,57.96,0.5900437748142116,0.88,0.84,-0.040000000000000036,-0.0454545454545455,21.26,0.05999999999999872,0.0028222013170272208,0,0,23,5.0
916918,,2025-02-07,2025-02-07,2025-02-01 00:00:00,420,Mateo Ross,Residential,Recurring,Google Search,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Nolensville,120.91,19.830000000000002,32.93,68.15,0.5636423786287322,1.1,0.96,-0.14000000000000012,-0.12727272727272737,30.78,2.1499999999999986,0.06985055230669261,0,0,41,4.6
902075,,2025-02-07,2025-02-07,2025-02-01 00:00:00,48,Lucas Foster,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,93.42,18.02,17.58,57.82000000000001,0.6189252836651681,0.77,0.83,0.05999999999999994,0.07792207792207785,20.43,-2.8500000000000014,-0.1395007342143907,0,0,8,4.4
900547,,2025-02-07,2025-02-07,2025-02-01 00:00:00,14,Oak Retail Center,Commercial,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,120.8,19.3,20.81,80.69,0.6679635761589404,0.82,0.96,0.14,0.17073170731707318,21.28,-0.4700000000000024,-0.022086466165413647,0,0,8,4.3
906450,,2025-02-07,2025-02-07,2025-02-01 00:00:00,164,Jack Ward,Residential,Recurring,Nextdoor,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,101.27,19.119999999999997,22.94,59.21000000000001,0.584674632171423,0.83,0.85,0.020000000000000018,0.024096385542168697,21.39,1.5500000000000007,0.07246376811594206,0,0,18,4.8
906554,,2025-02-07,2025-02-07,2025-02-01 00:00:00,166,Ethan Flores,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,86.43,16.27,22.55,47.610000000000014,0.550850399166956,0.83,0.79,-0.039999999999999925,-0.04819277108433726,22.15,0.40000000000000213,0.018058690744921092,0,0,8,5.0
905234,,2025-02-07,2025-02-07,2025-02-01 00:00:00,135,Noah Turner,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,89.56,15.17,20.51,53.879999999999995,0.6016078606520767,0.88,0.72,-0.16000000000000003,-0.18181818181818185,22.62,-2.1099999999999994,-0.09328028293545532,0,0,20,4.5
912415,,2025-02-08,2025-02-08,2025-02-01 00:00:00,313,Elijah Gray,Residential,Recurring,Website,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,183.62,41.83,42.37,99.42000000000002,0.5414442871146935,1.75,1.85,0.10000000000000009,0.0571428571428572,46.03,-3.6600000000000037,-0.07951336085161859,0,0,17,5.0
901840,,2025-02-08,2025-02-08,2025-02-01 00:00:00,43,Luke Ross,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,100.35,18.91,21.6,59.839999999999996,0.5963129048330842,0.85,0.86,0.010000000000000009,0.011764705882352951,21.0,0.6000000000000014,0.02857142857142864,0,0,8,4.7
904643,,2025-02-08,2025-02-08,2025-02-01 00:00:00,118,Jack Murphy,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,104.0,20.16,20.78,63.06,0.6063461538461539,0.86,0.94,0.07999999999999996,0.09302325581395345,19.95,0.8300000000000018,0.04160401002506275,0,0,13,4.2
905121,,2025-02-08,2025-02-08,2025-02-01 00:00:00,129,Henry Flores,Residential,Recurring,Website,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,117.9,22.08,26.7,69.12,0.5862595419847328,1.18,1.05,-0.1299999999999999,-0.11016949152542364,27.16,-0.46000000000000085,-0.016936671575846864,0,0,8,4.9
900057,,2025-02-08,2025-02-08,2025-02-01 00:00:00,1,Carter Cooper,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,103.69,13.82,19.31,70.56,0.6804899218825345,0.79,0.69,-0.10000000000000009,-0.12658227848101278,20.98,-1.6700000000000017,-0.07959961868446147,0,0,24,4.8
908923,,2025-02-08,2025-02-08,2025-02-01 00:00:00,213,Jack Gray,Residential,Recurring,Referral,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,185.53,39.48,43.1,102.95000000000002,0.5548967821915594,1.57,1.7,0.1299999999999999,0.08280254777070056,42.29,0.8100000000000023,0.01915346417592817,0,0,32,4.7
908680,,2025-02-08,2025-02-08,2025-02-01 00:00:00,208,Elijah Gray,Residential,Recurring,Website,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Nolensville,194.54,36.26,40.85,117.43,0.6036290737123471,1.69,1.78,0.09000000000000008,0.053254437869822535,41.64,-0.7899999999999991,-0.01897214217098941,0,0,28,5.0
908821,,2025-02-08,2025-02-08,2025-02-01 00:00:00,211,Fox Clinic,Commercial,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,124.07,20.03,19.46,84.57999999999998,0.6817119368098653,0.86,0.94,0.07999999999999996,0.09302325581395345,21.17,-1.7100000000000009,-0.08077468115257443,0,0,22,4.4
906760,,2025-02-08,2025-02-08,2025-02-01 00:00:00,171,Logan Ward,Residential,Recurring,Homebuilder/HOA,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,137.08,24.25,26.58,86.25000000000001,0.6291946308724833,1.11,1.15,0.039999999999999813,0.03603603603603586,28.48,-1.9000000000000021,-0.0667134831460675,0,0,23,4.4
913745,,2025-02-08,2025-02-08,2025-02-01 00:00:00,348,Mason Bailey,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,86.81,15.14,22.44,49.230000000000004,0.5671005644511001,0.83,0.75,-0.07999999999999996,-0.09638554216867466,22.07,0.370000000000001,0.016764839148164973,0,0,27,4.6
907361,,2025-02-08,2025-02-08,2025-02-01 00:00:00,182,Henry Flores,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,93.76,18.560000000000002,25.69,49.510000000000005,0.5280503412969284,0.87,0.87,0.0,0.0,22.63,3.0600000000000023,0.13521873619089714,0,0,23,4.7
909159,,2025-02-09,2025-02-09,2025-02-01 00:00:00,221,Hudson Ramos,Residential,Recurring,Google Search,Estate/Commercial,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Nashville,187.76,40.45,39.9,107.41,0.5720600766936514,1.64,1.89,0.25,0.1524390243902439,43.34,-3.440000000000005,-0.0793724042455008,0,0,41,4.8
905603,,2025-02-09,2025-02-09,2025-02-01 00:00:00,143,Mason Reed,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,95.23,18.310000000000002,23.67,53.25,0.5591725296650215,0.95,0.88,-0.06999999999999995,-0.07368421052631574,22.44,1.2300000000000004,0.05481283422459895,0,0,24,4.5
902312,,2025-02-09,2025-02-09,2025-02-01 00:00:00,54,Logan Flores,Residential,Recurring,Nextdoor,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,96.16,20.45,22.35,53.35999999999999,0.5549084858569051,0.85,0.99,0.14,0.1647058823529412,21.53,0.8200000000000003,0.03808639108221088,0,0,19,4.8
910911,,2025-02-09,2025-02-09,2025-02-01 00:00:00,268,Lucas Cole,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,94.76,16.669999999999998,24.84,53.25,0.5619459687631911,0.75,0.8,0.050000000000000044,0.06666666666666672,23.23,1.6099999999999994,0.06930693069306929,0,0,34,4.7
910090,,2025-02-09,2025-02-09,2025-02-01 00:00:00,246,Magnolia Properties,Commercial,Recurring,Homebuilder/HOA,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,116.31,17.78,22.81,75.72,0.6510188289914882,0.93,0.86,-0.07000000000000006,-0.07526881720430113,22.66,0.14999999999999858,0.006619593998234712,0,0,12,4.9
909715,,2025-02-09,2025-02-09,2025-02-01 00:00:00,234,Owen Flores,Residential,Recurring,Website,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,4,Crew D,Spring Hill,Spring Hill,87.84,15.649999999999999,24.96,47.23,0.5376821493624772,0.88,0.81,-0.06999999999999995,-0.07954545454545449,22.82,2.1400000000000006,0.09377738825591589,0,0,19,4.8
911593,,2025-02-09,2025-02-09,2025-02-01 00:00:00,289,Levi Bailey,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,95.59,19.18,22.05,54.36,0.5686787320849461,0.87,0.85,-0.020000000000000018,-0.022988505747126457,21.92,0.129999999999999,0.005930656934306523,0,0,13,4.9
915953,,2025-02-09,2025-02-09,2025-02-01 00:00:00,397,Owen Parker,Residential,Recurring,Homebuilder/HOA,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,94.36,19.869999999999997,23.03,51.46000000000001,0.5453582026282324,0.87,0.97,0.09999999999999998,0.11494252873563215,23.49,-0.4599999999999973,-0.01958280119199648,0,0,28,4.7
912168,,2025-02-09,2025-02-09,2025-02-01 00:00:00,306,Hudson Flores,Residential,Recurring,Google Search,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,5,Crew E,Nashville,Nashville,99.83,19.15,21.27,59.41000000000001,0.5951116898727838,0.86,0.97,0.10999999999999999,0.12790697674418602,22.36,-1.0899999999999999,-0.04874776386404293,0,0,13,4.8
901188,,2025-02-09,2025-02-09,2025-02-01 00:00:00,30,Caleb Turner,Residential,Recurring,Nextdoor,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,3,Crew C,Brentwood,Brentwood,99.96,22.7,21.58,55.67999999999999,0.5570228091236494,0.87,1.05,0.18000000000000005,0.20689655172413798,20.08,1.5,0.07470119521912351,0,0,8,5.0
912282,,2025-02-09,2025-02-09,2025-02-01 00:00:00,309,Ethan Collins,Residential,Recurring,Referral,Standard,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,2,Crew B,Franklin,Franklin,88.21,14.370000000000001,25.75,48.08999999999999,0.5451762838680421,0.85,0.7,-0.15000000000000002,-0.17647058823529416,23.87,1.879999999999999,0.07875994972769162,0,0,28,4.5
